IndexCol,TBE01AUG08.R2,TBE01OCT07.R1,TBE29JUN07.R1,TBE02FEB08.R2,TBE30APR08.R2,TBE06NOV07.R2,TBE14NOV07.R1,TBE14NOV07.R2,TBE19AUG08.R1,TBE15JUL08.R2,TBE13JUN07.R2,TBE09AUG07.R2,TBE15AUG08.R1,TBE17SEP07.R2,TBE10NOV07.R1,TBE31JUL07.R2,TBE24SEP07.R1,TBE04OCT08.R2,TBE21AUG08.R2,TBE29MAY08.R1,TBE05NOV07.R2,TBE17SEP07.R1,TBE29OCT07.R2,TBE17NOV07.R2,TBE25JUL07.R1,TBE10NOV07.R2,TBE11NOV07.R1,TBE19JUN08.R2,TBE02FEB08.R1,TBE31AUG08.R2,TBE27JUN07.R1,TBE12AUG08.R1,TBE06NOV07.R1,TBE22MAY08.R2,TBE04OCT08.R1,TBE05JAN08.R2,TBE04JUL08.R2,TBE15NOV07.R2,TBE27AUG07.R2,TBE15AUG08.R2,TBE16NOV07.R2,TBE26MAY08.R2,TBE31AUG08.R1,TBE26MAY08.R1,TBE04JUL08.R1,TBE16OCT07.R1,TBE10OCT08.R2,TBE21JUN07.R1,TBE10SEP07.R2,TBE02AUG07.R2,TBE01AUG08.R1,TBE13JUN08.R2,TBE30APR08.R1,TBE27AUG07.R1,TBE29JUL08.R2,TBE27JUL07.R2,TBE20SEP08.R2,TBE20AUG07.R1,TBE24JUN08.R2,TBE18JUL07.R1,TBE12JUL07.R2,TBE24SEP07.R2,TBE19JUN07.R2,TBE27JUN07.R2,TBE12AUG08.R2,TBE09SEP08.R1,TBE29JUL08.R1,TBE16OCT07.R2,TBE08AUG08.R2,TBE09AUG07.R1,TBE20AUG07.R2,TBE23AUG07.R2,TBE25AUG08.R1,TBE13JUN07.R1,TBE16JUL07.R2,TBE09SEP08.R2,TBE25JUL07.R2,TBE08AUG08.R1,TBE15NOV07.R1,TBE22OCT07.R2,TBE09NOV07.R1,TBE05AUG08.R2,TBE09NOV07.R2,TBE11NOV07.R2,TBE19JUN07.R1,TBE18NOV07.R2,TBE02JUL07.R1,TBE02JUL07.R2,TBE29JUN07.R2,TBE10JUL07.R2,TBE22MAY08.R1,TBE28SEP08.R1,TBE19AUG08.R2,TBE25AUG08.R2,TBE19JUN08.R1,TBE05JUL07.R2,TBE20SEP08.R1,TBE05JUL07.R1,TBE27JUL07.R1,TBE01OCT07.R2,TBE31JUL07.R1,TBE23AUG07.R1,TBE07NOV07.R2,TBE28SEP08.R2,TBE21JUN07.R2,TBE18JUL07.R2,TBE22OCT07.R1,TBE18NOV07.R1,TBE13JUN08.R1,TBE10OCT08.R1,TBE05AUG08.R1,TBE08NOV07.R2,TBE10JUL07.R1,TBE05JAN08.R1,TBE07NOV07.R1,TBE24JUN08.R1,TBE08NOV07.R1,TBE16NOV07.R1,TBE21AUG08.R1,TBE29MAY08.R2,TBE12JUL07.R1,TBE10SEP07.R1,TBE05NOV07.R1,TBE17NOV07.R1,TBE15JUL08.R1
1,0.14504596527068436,0.004506690702350413,0.010967016697282922,0.0,0.0,0.0010969798772753761,0.0,0.0,0.09811706468208044,0.012287712287712287,0.0,0.0497148288973384,0.09974003599501607,0.0,0.0,0.14014103982300885,0.0022788906360383765,0.026343094304819,0.09803921568627451,0.004752066115702479,0.0016299918500407497,0.0,0.0017586058226871496,0.0,0.17843461429896368,0.0,0.0,0.0015748031496062992,0.0,0.0633314054366686,0.011796641978618587,0.14627185158758474,0.0,0.002585385766770989,0.03213325056900476,0.0,0.009624197983501375,0.0,0.0018443095366172289,0.0849862021386685,0.0,0.0029925590423811065,0.07922798037961186,0.004976848206129713,0.013834361562908955,0.0019636078020683337,0.04471439648487981,0.003030971012895404,0.0,0.09432736359850062,0.16713936815567634,0.007062733693394266,0.0,0.0015801587028958126,0.09618048683950128,0.15042399696240982,0.019636481661798117,0.1097181729834791,0.0013537906137184115,0.1587171913948763,0.08312080362254723,0.0023879408984627632,0.0010251153254741158,0.010415149308084487,0.11602023608768972,0.038370533953781844,0.11187410586552217,0.0020149683362118594,0.16879174256223436,0.04718091832730127,0.11082024432809773,0.028073711488626547,0.08175631583853826,0.0,0.15902155784792144,0.02936646472943834,0.1743882691615689,0.1847046007945662,0.0,0.0013564431047475508,0.0,0.18437873147432746,0.001171303074670571,0.0,0.0,0.0,0.04246157200479669,0.03848870056497175,0.010885756846568121,0.11319587628865979,0.003149522233491699,0.030212105535437146,0.08184476277058404,0.0669260700389105,0.0017014036580178648,0.051023051023051026,0.027170490328385064,0.043348281016442454,0.14653297556842254,0.0056031128404669265,0.14171172851016223,0.027493438320209975,0.0,0.024008632317237658,0.0018456995201181247,0.1637304250559284,0.0019165247018739352,0.0,0.00790190735694823,0.04801244047040529,0.2047870516425485,0.0,0.11775918177591818,0.0,0.0,0.001727447216890595,0.0,0.0,0.11407199625993455,0.0026816840976133013,0.08417192958104888,0.0,0.0014365752047119666,0.0,0.013612167300380227
2,0.11315401203041653,0.003952021077445746,0.006004441641762399,0.0,0.0,0.0,0.0,0.0,0.12110256042034483,0.005794205794205794,0.0,0.050095057034220535,0.18977372363826547,0.0,0.0,0.12375553097345132,0.0010938675052984208,0.01129813234955038,0.19953863898500576,0.0012396694214876034,0.0,0.0,0.0,0.0,0.22267026896245817,0.0,0.0,0.0010498687664041995,0.0,0.0578368999421631,0.003652937430879051,0.11440123677012724,0.0,0.0,0.012331884957583281,0.0,0.005499541704857928,0.0,0.0,0.16755777854432563,0.0,0.0012131996117761242,0.07570910641927917,0.001417456767568589,0.006543279117592073,0.0017017934284592224,0.01421555957611786,0.0,0.0,0.10677217825905873,0.13062317812967777,0.005816368923971749,0.0,0.0,0.06510983574114387,0.15200607518035691,0.01192794547224927,0.038969873663751216,0.0018050541516245488,0.1530614382370808,0.05831988757612033,0.0,0.0,0.003860160233066278,0.1015177065767285,0.02937928858742803,0.07625178826895565,0.0,0.13035355658306477,0.05420136920594776,0.03643106457242583,0.013964871868701411,0.11158758273515429,0.0,0.1373401692507258,0.025875346544819797,0.2275098956459158,0.15545303088555684,0.0,0.0,0.0,0.17630118704783312,0.0,0.0,0.0,0.0,0.018314618990515643,0.015889830508474576,0.006760627936289676,0.10268041237113402,0.0016014519831313724,0.016658044490429385,0.10494115334529104,0.10038910505836576,0.0,0.0259000259000259,0.016254310991153098,0.02391629297458894,0.15040248552464341,0.004513618677042802,0.12760270992603642,0.012795275590551181,0.0,0.012948475856487725,0.0015996062507690415,0.1528709917971663,0.0,0.0,0.007318022576878163,0.017785985032559043,0.1954369842031868,0.0,0.10576476057647606,0.0,0.0,0.001343570057581574,0.0,0.0,0.22012956655312896,0.0010726736390453205,0.06004349133643325,0.0,0.0,0.0,0.006901140684410646
3,0.08580183861082738,0.0,0.023359745565212624,0.0,0.0,0.0,0.0,0.0,0.10900582028907155,0.020879120879120878,0.0,0.0806083650190114,0.14413388915380948,0.0,0.0,0.11193307522123894,0.011120986303867278,0.12145492275766659,0.12341407151095732,0.0,0.0,0.0,0.0,0.0,0.06649461671841607,0.0,0.0,0.0010498687664041995,0.0,0.07779063042220936,0.022018164147592077,0.1900344868593174,0.0,0.0,0.1648872336023174,0.0,0.007791017415215398,0.0,0.08045800353492662,0.10344084166954122,0.0,0.0,0.1238003838771593,0.0,0.013086558235184146,0.0,0.07909020418712846,0.005951724898049157,0.0,0.07598500624739692,0.11762388718191129,0.0,0.0,0.09134004328260795,0.05857906194339996,0.1595367674977851,0.08828302499188576,0.1445092322643343,0.0036101083032490976,0.09373887178198119,0.02971946078176235,0.010546738968210536,0.0035879036391594054,0.018790968681718864,0.13591905564924114,0.11306096695322974,0.08104434907010015,0.0,0.09999532950352623,0.09052457157807527,0.13590750436300175,0.14224013820904116,0.14076629066840682,0.0,0.07354376428439063,0.07167060273128657,0.05707988485066571,0.13252915545303087,0.0,0.0,0.0,0.08751843787314743,0.0,0.0,0.003174746132889019,0.0,0.019568298266652132,0.016713747645951037,0.02131316603643864,0.03639175257731959,0.0,0.12002069322296947,0.07715177277082975,0.08534370946822309,0.0012760527435133986,0.011137011137011137,0.1267056530214425,0.013337932620443832,0.16983476910040954,0.0,0.11967804089750761,0.16456692913385826,0.0,0.08065821418937145,0.0067675649070997905,0.08216815809097688,0.0,0.0,0.001050992604126119,0.11575468947419575,0.11588139816656379,0.0,0.038493723849372385,0.0,0.0,0.004414587332053743,0.0,0.0,0.18326320710612437,0.0,0.032283063825849584,0.0012834474175482265,0.0,0.0,0.03102661596958175
4,0.0494836000453978,0.04749358663246204,0.11282318427329806,0.16683647478349464,0.07235240413877055,0.10602996126289808,0.13043478260869565,0.13178503915743991,0.044408214294765117,0.07147852147852148,0.0,0.06007604562737642,0.036271900813733486,0.019435518215958805,0.13019911504424778,0.01963495575221239,0.02643513137804517,0.025824302513258013,0.031718569780853516,0.052169421487603305,0.11287693561532193,0.020978256910805987,0.07178515509768772,0.11770499876877616,0.01491995644985685,0.13455274367326484,0.15007112375533427,0.06771653543307087,0.16774450303452393,0.038172353961827644,0.09604879520091156,0.026519205613033656,0.10612763554216867,0.05252415294597904,0.02840885578315746,0.1611855460820138,0.0692025664527956,0.11213320314507426,0.02220856067009913,0.039323904794756816,0.0846629762292413,0.05516014234875445,0.042759650245254854,0.05153242826093804,0.06767620115909516,0.04045032072260767,0.062031532695787026,0.08464675410558802,0.021502568120484025,0.021690962099125365,0.04329157803513748,0.08246780224345658,0.07081720547347763,0.021847411631342104,0.032060162279833763,0.016137197823060372,0.07002596559558585,0.037220602526724975,0.09927797833935018,0.0329499989526383,0.058866392546713164,0.02313317745385802,0.07739620707329574,0.0930080116533139,0.03541315345699832,0.061282435523306256,0.02453505007153076,0.03929188255613126,0.031105506515342583,0.05507347490515851,0.04101221640488656,0.020011517420097897,0.04745035890742985,0.0,0.03792698746062141,0.060478488551185955,0.016237855343648796,0.026640394719979494,0.11052456365625149,0.08153730218538056,0.1096128170894526,0.03020299220341364,0.10395314787701318,0.15195922268238293,0.07209600792560737,0.12364810330912025,0.11495693884225444,0.11452448210922787,0.11710782628623811,0.06123711340206186,0.047242833502375486,0.042834971546818416,0.048428708322071794,0.054474708171206226,0.07039557635048915,0.05801605801605802,0.06864597390913181,0.0542715879038749,0.012371134020618556,0.04638132295719844,0.021971533345764186,0.01988188976377953,0.1231157894736842,0.045049905584030214,0.09179278946720808,0.036539895600298286,0.0817717206132879,0.12177951955874881,0.0855975087582717,0.056370881523957625,0.02569553985780582,0.09804727646454266,0.05839144583914459,0.16121794871794873,0.12144063317735927,0.08675623800383878,0.09203909289306386,0.09780350252300386,0.024777933613838243,0.04290694556181282,0.05931478011428043,0.024191039203484754,0.11427955753483694,0.10619469026548672,0.07157794676806084
5,0.04744069912609238,0.00998405324828399,0.004688399638088449,0.0489047376464595,0.051202069385270846,0.07006958966096466,0.05973719268499455,0.0578584931136916,0.05651340187026415,0.05859140859140859,0.0,0.036692015209125475,0.05485394330015844,0.06562391110766967,0.05929203539823009,0.011407632743362832,0.044871356623595635,0.05320498040119898,0.058439061899269514,0.062396694214876036,0.061532192339038304,0.06717776887496814,0.048628287458304026,0.05072642206353115,0.0091737570063309,0.0623903783512904,0.04523470839260313,0.05196850393700787,0.05133817530593971,0.05118565644881434,0.006199939676262609,0.045189677726245686,0.07145770582329317,0.0545652469723772,0.05063107800537968,0.08120178643930166,0.04949587534372136,0.05313736574335783,0.05248597556289864,0.060969299758537425,0.04623901009443178,0.05580718214170172,0.0509703561526978,0.05531231297445428,0.05141147878108058,0.02598507658070428,0.044972861204445595,0.008100958889011352,0.017149821537390093,0.0226905456059975,0.0434097534073899,0.0603448275862069,0.05004633920296571,0.05300401909930954,0.030872748862062142,0.006771294772813568,0.05533917559234015,0.039941690962099125,0.04151624548736462,0.009803305473512222,0.02014261177327851,0.04696283766976767,0.015530497180932855,0.007137654770575382,0.043170320404721754,0.06739490496095907,0.029470672389127324,0.026338514680483593,0.03923217037971136,0.04024767801857585,0.04472076788830716,0.04319032536711777,0.05556073459494733,0.0,0.01564024955216505,0.07403224150323442,0.009940626124505218,0.0331923619120851,0.05718837684881343,0.047776940467219295,0.058878504672897194,0.030694668820678513,0.057979502196193265,0.046193055113093344,0.013734717312498593,0.06513317191283292,0.014063011010574512,0.014948210922787194,0.0041824223673656465,0.0222680412371134,0.055036566486948164,0.049042938437661665,0.06216368952554117,0.055771725032425425,0.05338153977031051,0.03289303289303289,0.05668016194331984,0.028630562262849258,0.005564185849456292,0.010272373540856031,0.013642861582447634,0.04179790026246719,0.06790175438596491,0.052872943080658215,0.007259751445797958,0.009554436987322893,0.04471890971039182,0.06480876696422092,0.05998442973919813,0.051900087472057536,0.021992090162997507,0.0526207605344296,0.0198047419804742,0.07564102564102564,0.0706137128272555,0.04568138195777351,0.05465414175918019,0.05090531314930247,0.05696921124691111,0.05041566103513006,0.01988340620445555,0.020729620410703174,0.06421491165062491,0.05525300658044021,0.0564828897338403
6,0.04585177618885484,0.10996325313735007,0.04929674005428673,0.004839531329597555,0.0,0.08707277775873298,0.019952767348916073,0.018768566027545234,0.07939752827781954,0.03996003996003996,0.0,0.07623574144486692,0.06480641141995723,0.036431917611986525,0.07748893805309734,0.1281111725663717,0.027323898726100134,0.018330643301821537,0.042483660130718956,0.0011363636363636363,0.15623471882640586,0.03918854936810285,0.12710749052622025,0.01354346220142822,0.1193596515988548,0.07090954647957905,0.03897581792318634,0.02204724409448819,0.006566510794945777,0.05639097744360902,0.1468547873588257,0.04863836365798549,0.09626004016064257,0.0,0.020629008897165322,0.006902151847340642,0.02383134738771769,0.016958733747880157,0.09352186275263198,0.059072093825457056,0.02149137088896125,0.0,0.06579227980379612,0.0,0.0267339689661619,0.1237727451237073,0.041612819850090466,0.3833351702854624,0.06520414381474711,0.11022074135776759,0.05412432049160955,0.02773161611965102,0.0,0.10563017416097008,0.16287354047100733,0.13688140741678267,0.01777020447906524,0.10136054421768707,0.023465703971119134,0.09202119860072477,0.11286628845052829,0.026615591264116212,0.4236801640184521,0.1337946103423161,0.042495784148397976,0.04996450824197492,0.20522174535050072,0.1125503742084053,0.053990939236840875,0.08677451707146906,0.08660558464223386,0.10970342643247913,0.054628507504428075,0.007692307692307693,0.1025758230897523,0.03758086045795256,0.10952680820439006,0.0652793797257465,0.019998097683930186,0.08590806330067823,0.06034712950600801,0.08899346772494206,0.05651537335285505,0.03536158012105766,0.4516020084209578,0.030347054075867637,0.04104436934481631,0.04437382297551789,0.045777472212673316,0.2004123711340206,0.0,0.029591308846352818,0.06933831298066291,0.0443579766536965,0.026584432156529135,0.21652421652421652,0.02384165542060279,0.24410716338967461,0.14673068775596668,0.10614785992217898,0.1390701721673193,0.11601049868766404,0.09611228070175439,0.02724575128135959,0.3503137689184201,0.08356636838180462,0.09348381601362862,0.03069888961463096,0.03834176722460101,0.04772086694528137,0.10454244107628649,0.06927029804727647,0.21729428172942816,0.008493589743589743,0.10662954226123722,0.028406909788867563,0.07372615997722744,0.0213713268032057,0.043478260869565216,0.0,0.1199366136905175,0.07125077784691973,0.16653498060623473,0.019174041297935103,0.05638783269961977
7,0.04585177618885484,0.0,0.0,0.024707080998471728,0.003956177723676202,0.015049192691371567,0.003966331597432481,0.004523359438293276,0.07194688247070849,0.07002997002997002,0.0,0.008555133079847909,0.0209509452537341,0.09253165047040149,0.00331858407079646,0.003733407079646018,0.10473781363232379,0.07297671201291216,0.015763168012302962,0.016322314049586777,0.01980440097799511,0.09272680919255563,0.013512900224647711,0.002462447672986949,0.0021775071575466753,0.004885993485342019,0.004694167852062589,0.03464566929133858,0.023181772957914636,0.045401966454598035,0.0,0.027232726840290166,0.013773845381526104,0.006803646754660498,0.06335609352369129,0.022330491270807957,0.03162236480293309,0.003288966545043425,0.14085914085914086,0.02664711969644705,0.0022793878215564964,0.007926237463604012,0.030710172744721688,0.0074652723091945695,0.04393344550383249,0.0663044901165074,0.06539157405014216,0.0,0.009488987551144773,0.00997917534360683,0.039037264634050266,0.03043207312006647,0.002535026985771139,0.13761121225653533,0.007322382742924995,0.0,0.09225900681596884,0.05383867832847425,0.030685920577617327,0.0033306101929240243,0.007468901264768646,0.10362668523954033,0.0,0.0,0.040134907251264756,0.07516365643978232,0.0050786838340486406,0.0690846286701209,0.03460837887067395,0.00658439802904112,0.05388307155322862,0.06982435934350706,0.05444206208632423,0.0,0.009969732534436964,0.08265735701817435,0.0019341489744512414,0.028578751762142765,0.0026632424977409996,0.06179351921627732,0.006275033377837116,0.0010535927512818712,0.005856515373352855,0.003822873526600828,0.0,0.001694915254237288,0.0,0.0,0.0,0.006907216494845361,0.008007259915656862,0.16647697878944645,0.08253274036217106,0.0622568093385214,0.031475967673330496,0.006993006993006993,0.0855300644774329,0.005634126710359894,0.0,0.0,0.003729256013425322,0.06404199475065617,0.012491228070175438,0.16266522794712707,0.0,0.0037285607755406414,0.05728279386712096,0.0021409391102402207,0.030284157259634098,0.06132763145106424,0.0010058752257504058,0.0067831449126413155,0.005299860529986053,0.02403846153846154,0.012800185622027147,0.03205374280230326,0.007970395673213778,0.002226179875333927,0.01375809790957056,0.012872083668543845,0.006893839498461609,0.009023024268823895,0.01641287171383422,0.0026094849103698663,0.0626615969581749
8,0.04267393031437975,0.0,0.01159762015737669,0.2524197656647988,0.14888922702373705,0.05892838778238662,0.1389427152718905,0.14278963002970566,0.061733922401777344,0.09085914085914086,0.0,0.019581749049429657,0.03356458336538018,0.034225095822525066,0.0978429203539823,0.012168141592920354,0.034114992821494494,0.03723772192759972,0.03556324490580546,0.10537190082644628,0.05264873675631622,0.0336708307535419,0.021103269872245797,0.1356808667815809,0.0064720351627081734,0.09559007767476822,0.11536273115220484,0.09238845144356955,0.25529798030046763,0.05118565644881434,0.010020443044337947,0.033892258294684265,0.05926832329317269,0.16029391753980132,0.03325056900475895,0.19813235891189607,0.06278643446379469,0.1287322061770903,0.030431107354184278,0.038590893411521214,0.14946271572777597,0.14145907473309607,0.048837705267647684,0.1416826786783003,0.05963731538605347,0.019963345987694725,0.07702248643060222,0.0,0.008705493166187864,0.01977509371095377,0.034507208697707396,0.12152056501869547,0.13656435697541297,0.030469581944969255,0.020779734811003363,0.003796987723073029,0.0798442064264849,0.02944606413994169,0.10243682310469314,0.006912587192861182,0.013116119294227867,0.033431172578478684,0.016504356740133265,0.01391114348142753,0.04047217537942664,0.08644214843441912,0.015736766809728183,0.015256188831318365,0.035168838447526975,0.018445035538307245,0.031631762652705064,0.024330549956809673,0.05994220192038781,0.0,0.01321885230712212,0.09241195194578498,0.00593738754947823,0.028498654363706268,0.12621867123222524,0.0239638281838734,0.07650200267022697,0.011027604130083584,0.08257686676427525,0.12742911755336095,0.01652669263503929,0.1380952380952381,0.016406846179003596,0.020951035781544256,0.01077116993239372,0.011649484536082473,0.1555543692948273,0.06145887221934816,0.06759379837342441,0.06147859922178988,0.08358145470012761,0.015799015799015798,0.07320437846753636,0.020351845463953088,0.003445840982912018,0.00575875486381323,0.010006836969357946,0.02952755905511811,0.07578947368421053,0.06447261936876181,0.0,0.0068046234153616705,0.02434696195343555,0.13469772842731692,0.12024133904242897,0.07697541063271456,0.008069862606588483,0.05714285714285714,0.009762900976290097,0.20288461538461539,0.07048480864173659,0.1199616122840691,0.059872853211879684,0.14217868803799347,0.026915113871635612,0.11182622687047465,0.011948550674347051,0.0075451151213441195,0.051070248527510416,0.14204674381665533,0.09431558935361217
9,0.023947338554080128,0.006170699577064411,0.05154497847722973,0.0,0.0,0.0056220218710363035,0.0035121714908562434,0.0031731028895490144,0.004088563005262758,0.014835164835164835,0.0,0.021102661596958176,0.014690273654417082,0.012273026443145301,0.0045353982300884955,0.023783185840707963,0.012579476310931838,0.014699100760894628,0.006343713956170703,0.0,0.004319478402607987,0.013020359106967258,0.005343892532165468,0.004678650578675204,0.016916004677607968,0.003006765221748935,0.0015647226173541964,0.023622047244094488,0.0,0.01098901098901099,0.041857971111632426,0.016529908431442503,0.004737700803212851,0.0,0.01425615559693772,0.00243605359317905,0.0307057745187901,0.003288966545043425,0.018904172750326596,0.015996895481200413,0.0035818951481602084,0.0,0.007357645553422905,0.0,0.03252944475602917,0.009425317449928002,0.022486430602222798,0.045299239501818585,0.017410986332375727,0.018875468554768845,0.021271567005436066,0.015267968425425842,0.0010630758327427356,0.020301604204596202,0.022362952701365527,0.01714972788254651,0.011441090555014606,0.01652089407191448,0.012184115523465704,0.03269863214562517,0.05277676573153594,0.013581413860006965,0.04823167606355715,0.043408594319009466,0.0178752107925801,0.007216657465099772,0.021244635193133046,0.0063327576280944155,0.0258745504647144,0.020581694501373565,0.014179755671902269,0.017420097898070832,0.005500139834063578,0.007692307692307693,0.031712891469516336,0.007906355888694937,0.019296509535804245,0.02157823913879277,0.003043705711704,0.012207987942727958,0.00520694259012016,0.0210016155088853,0.004685212298682284,0.002867155144950621,0.04518947155112242,0.004116222760290557,0.05319960754387877,0.056732580037664786,0.05282456743439899,0.039690721649484534,0.0,0.012519399896533886,0.0038821592668124524,0.007782101167315175,0.01999149298170991,0.04480704480704481,0.01142600089968511,0.040588708750143726,0.01530857223555995,0.007937743190661479,0.021909379078873765,0.015616797900262467,0.00704561403508772,0.01240895602913407,0.04909560723514212,0.03444258016405667,0.010434412265758091,0.0030844038028884535,0.015920591669910472,0.02099329380892215,0.020071782913837644,0.005549845837615622,0.03737796373779637,0.002403846153846154,0.006032715882284698,0.013435700575815739,0.004934054464370434,0.003561887800534283,0.007546917785346958,0.0018771788683293108,0.04704235778564323,0.019407280647168637,0.005782215198965666,0.0034036759700476512,0.014562737642585552
10,0.023152877085461356,0.006517368092629827,0.06009925150111041,0.006113092205807438,0.011488131466828972,0.029515614822940593,0.01362480319728715,0.014852822036186876,0.012029160577467288,0.023376623376623377,0.0,0.051901140684410645,0.013182790075220354,0.031243950598164854,0.020464601769911505,0.03837112831858407,0.01850459196463162,0.028591192068249942,0.02364475201845444,0.03605371900826446,0.022982885085574573,0.02751575190297556,0.025199119562504254,0.015759665107116475,0.020222589620549215,0.02292658481583563,0.006258890469416785,0.01784776902887139,0.005770570092528107,0.021399652978600348,0.0750360266764972,0.01569746699964324,0.02682605421686747,0.03646754660498027,0.024705152079453757,0.014210312626877792,0.043538038496791935,0.013053085975641091,0.037654653039268425,0.0169454984477406,0.015955714750895474,0.043917825946295695,0.016314779270633396,0.04164172992723722,0.040568330529070856,0.03154863201989789,0.018609459808736108,0.0710349388294941,0.03499608252807521,0.04094960433152853,0.021035216260931223,0.016618196925633568,0.008886223627541842,0.03417951976915942,0.023946170591727687,0.020820149348183773,0.020366764037650115,0.05267249757045676,0.018050541516245487,0.030960011730450994,0.039894862853276425,0.020148251330779562,0.05315222962583291,0.0809905316824472,0.019898819561551432,0.014393879643505008,0.020243204577968528,0.03425446171560161,0.01816823128298538,0.04914315615052545,0.05824607329842932,0.050100777425856606,0.012771511140113732,0.0,0.024535178207424794,0.015093952151144882,0.022220223101835194,0.015026271946687172,0.013316212488704997,0.021703089675960813,0.027369826435246995,0.016997963054014187,0.03074670571010249,0.00669002867155145,0.05108864521649067,0.016142050040355124,0.057015153166902866,0.06202919020715631,0.06061647759825828,0.024845360824742268,0.03149522233491699,0.024831867563372995,0.013341851151133935,0.017380025940337225,0.02126754572522331,0.03341103341103341,0.018443544759334234,0.030700241462573302,0.020590312102810336,0.007003891050583658,0.036577786065013364,0.04665354330708661,0.026610526315789473,0.02185055300782304,0.0803494524424757,0.03327740492170023,0.021081771720613287,0.01625662239640032,0.01549240949785909,0.014578676256195938,0.013465011544704296,0.030421377183967112,0.022268712226871223,0.014423076923076924,0.027082769377521687,0.01362763915547025,0.026947528228484677,0.012466607301869992,0.01743137647765979,0.03888441941539287,0.03729150762255072,0.03321406347230865,0.021297227409854905,0.017245291581574767,0.021653992395437263
